time,x,y,z
0.0,0.7044559252588901,1.5630529501062198,0.6912217655380295
0.1,1.961151744222769,4.108030257136805,0.31602229124825115
0.2,7.970134827737582,17.48578237145362,5.449799735356165
0.3,17.24258731429771,23.142389873185707,29.99776179543069
0.4,13.651819970936302,1.4619968190167514,44.33203771148085
0.5,0.8093266527919811,-10.439237276531959,33.18097249242668
0.6,-5.171122521613849,-7.625293649913577,25.497173015900216
0.7,-6.460511767218206,-8.770583389047612,25.25038575117217
0.8,-8.36078284726763,-9.983120486442594,25.776982777928904
0.9,-9.59410530941927,-9.626990458940503,28.32109354922444
1.0,-9.353373589313032,-8.201166159264828,29.027978958002677
1.1,-8.109335255137674,-6.608081727460699,27.902853398886332
1.2,-7.310556813656226,-6.65188991599402,26.364633115578
1.3,-7.331539795526928,-7.625643106304436,24.785457585443215
1.4,-8.311834148668884,-9.463442147631238,25.013656709450196
1.5,-9.371359984758872,-10.067430952701407,27.788261378625997
1.6,-9.085184211110988,-8.412003295055355,29.691362508429204
1.7,-8.118545962290717,-6.960911374103657,28.025233997499306
1.8,-7.453183959652372,-6.700988904425982,25.737027582390066
1.9,-7.49653470507464,-7.926119155419634,24.661341066386747
2.0,-8.661594005844348,-9.813093910811945,24.895962337022596
2.1,-10.135450747439092,-10.91474078113996,27.07200851545104
2.2,-9.386171075134323,-9.680995816621309,29.228817766850916
2.3,-7.696119908827251,-6.797607724451056,29.028157886799658
2.4,-7.02400460995172,-6.114170413066618,26.87074396471346
2.5,-6.81762609693281,-7.766284981031909,24.717619431464716
2.6,-7.651694707211913,-9.533838391838604,24.181701701554385
2.7,-9.187065502268435,-10.934700730226332,26.367898003270735
2.8,-9.71390571280141,-10.13087548179141,29.11851991348917
2.9,-8.653361860827447,-7.2537495283185685,29.276807269859233
3.0,-7.4003004609580545,-6.419809814808836,27.051497141021166
3.1,-7.400256771509986,-7.488010374934854,24.720488094500276
3.2,-7.577386850819766,-8.888243422379738,24.004038884107675
3.3,-8.365520798362457,-10.723864375986297,25.38131579791576
3.4,-9.698733078458075,-10.05465760579522,28.46442324182293
3.5,-9.168379789017694,-7.3574642782596245,30.040484993523503
3.6,-7.783507687964607,-5.970347981766881,28.041260156187672
3.7,-6.850979240298509,-6.763868064000155,24.986571310176835
3.8,-6.93435490707763,-8.691880562838987,23.64602760410309
3.9,-8.94469801649391,-10.559604596135042,24.807732297356043
4.0,-10.455249351900216,-10.710168620925858,28.010011560109504
4.1,-9.392328667985302,-8.021065868003605,30.449595366798583
4.2,-8.002206576669153,-5.601733597375491,28.937366702937485
4.3,-7.015423399840822,-6.152498908877126,25.798872056926246
4.4,-6.83650403270508,-7.917320426230094,23.75151625987988
4.5,-8.37771863980315,-10.270679974545098,23.61559752233128
4.6,-9.587329075212333,-11.180925044162409,27.361795304738138
4.7,-9.492632110243715,-9.045759532084235,30.261975545199203
4.8,-8.225459682744196,-6.827647250147921,28.689809696084076
4.9,-6.344904513760772,-5.878798307458504,26.47692068380559
5.0,-6.267584958977135,-6.543689225862718,24.326280691828398
5.1,-8.022169606314822,-9.463108340106286,23.028227758295415
5.2,-9.813691703940938,-11.67545497512268,26.191544238415613
5.3,-10.303149868375414,-10.069178191031666,30.07713065148117
5.4,-8.420761744943233,-6.987344355699569,30.067751958581567
5.5,-6.391214627239283,-5.836486888248239,27.229421778705493
5.6,-6.162793137521876,-6.807069597425791,23.971435064820323
5.7,-7.262187385409821,-9.00241301221841,22.60159765472499
5.8,-9.279982904284031,-11.22429955633538,24.91965705234406
5.9,-10.578380789596483,-10.778682884247509,29.22266495011553
6.0,-9.33270052703083,-7.5754762089970535,30.79443377397263
6.1,-7.047104519622288,-5.419953386258728,28.167254780942358
6.2,-6.471210479860692,-5.993489147235909,24.323450890008825
6.3,-6.918947738750251,-8.335494967632558,22.259231506683207
6.4,-8.137805596683688,-11.06853950943488,23.88123788306319
6.5,-10.121157992321358,-11.285691920242853,28.33096043409637
6.6,-10.289081525292747,-8.24359313162954,30.878243320781912
6.7,-7.815155152848862,-5.805209259765868,28.75008491182304
6.8,-5.7696433564044,-5.400637939421203,25.004704298841215
6.9,-6.095594705252088,-6.783223296396946,22.642011500558088
7.0,-8.30623047993075,-10.204781155509059,23.048562783949535
7.1,-10.24236435536608,-12.143904823449942,26.582428520301963
7.2,-10.470306100871804,-9.998141408115687,30.125490604124664
7.3,-8.89119169493863,-6.261005528238134,30.24131307767471
7.4,-6.566090988308214,-4.5243757746139845,26.891955260390244
7.5,-5.631370819419851,-6.219582346042752,23.15869677376176
7.6,-6.497593745073736,-9.314260207102643,21.744636370478915
7.7,-9.47756919667994,-11.783481057732129,24.41990276964873
7.8,-11.304129736912328,-11.254736071530843,29.952792551197042
7.9,-9.575388793809436,-6.943896031421458,31.54169748011417
8.0,-6.928484055260965,-4.300084010437202,27.831438105836707
8.1,-5.401421226995064,-4.951772077299951,23.82989689064948
8.2,-6.142737369389456,-7.369386568551552,21.690981993389098
8.3,-8.64068147861146,-11.231685814182324,22.84759138777014
8.4,-10.869494309160737,-12.264510383257898,28.373618826612024
8.5,-10.521887620261687,-8.477648564497862,32.44475156195696
8.6,-7.629986297873825,-4.42362486313907,29.84444775221431
8.7,-5.416330552071594,-4.024124258482561,24.96213590318674
8.8,-5.549642406601049,-6.375966407639479,21.839829557895946
8.9,-7.352744932870221,-10.02820406613079,21.14310760463567
9.0,-10.193031825323814,-12.944148125240206,25.535264487423333
9.1,-11.605402935450133,-10.712693478978446,31.813239818196326
9.2,-8.980210024276996,-5.252370890374336,31.9634666248441
9.3,-5.836295705949216,-3.662953002585552,27.206981287203458
9.4,-5.459638030911594,-5.2274672890674925,22.70643117984329
9.5,-6.548455173552309,-7.781933553665154,20.195557812670803
9.6,-9.260779597949265,-11.963862566183565,22.74512477852203
9.7,-11.702422387379928,-13.110724861520534,29.729476008400496
9.8,-10.432258544064844,-7.957721819949121,32.94356040135861
9.9,-7.029785820272494,-3.311763225681562,29.20500657065994
10.0,-4.767042295487317,-3.846693428890071,23.970859532343887
10.1,-4.7971442787286875,-6.2719398395590575,20.689178881944976
10.2,-6.800604066813848,-9.913234349706554,20.009518171120185
10.3,-10.270946428423182,-13.664455581184978,25.151575273332167
10.4,-12.079357295766656,-10.874600923439868,32.48297590500635
10.5,-9.128597846368212,-4.534275277146336,32.513698858473255
10.6,-5.545744889629596,-2.9739657291283175,26.978797274214617
10.7,-4.742044610579424,-4.229136794148973,22.084108166337842
10.8,-5.182659816315111,-6.687280450247621,18.86766638782388
10.9,-7.887394271150729,-12.466558953942267,20.262871456244376
11.0,-12.068041062438002,-14.273900178571585,28.449792897190616
11.1,-11.958270912704391,-7.952990697476142,34.20039380371737
11.2,-7.2412358058230994,-2.8989227467524095,30.93699950645481
11.3,-3.724679655246615,-2.7473530172384537,24.541309961600163
11.4,-4.005580189927705,-4.4700015612957875,19.664153599651783
11.5,-6.021535460561898,-7.868121694637211,16.947666043992832
11.6,-9.478878433921262,-13.37601683711417,20.428051776928953
11.7,-12.89531434506195,-14.198828664112378,30.36215456344308
11.8,-10.81572793815981,-6.8804551242457315,34.89233280495732
11.9,-5.4584308533798795,-1.3236228809182264,29.71521058262601
12.0,-3.1952700031843113,-1.8972420729577621,23.31384324963838
12.1,-3.762650908954995,-4.111092480405404,19.002421426926702
12.2,-5.13384680228464,-7.965753606083599,15.543461285731613
12.3,-8.777593322088205,-14.468448375252828,19.06817277661862
12.4,-12.97326280667596,-14.638036818544073,31.047670634462076
12.5,-11.2348932739237,-5.613803936762739,35.83462484267026
12.6,-5.2370927437484704,-0.2676846358754072,29.642725448925315
12.7,-2.0091506772219643,-1.0998553574437007,22.664978852362083
12.8,-2.141314906683143,-2.3120589385598795,17.701792367496427
12.9,-3.230359603962413,-4.0399130974854,14.63830012619496
13.0,-6.203425600949491,-10.919754676910303,14.049366180866684
13.1,-12.285466150105842,-18.10453082086638,23.583665886878705
13.2,-14.495869397988756,-11.742087382374105,36.86035609230022
13.3,-8.379932991993016,-0.2711198571755116,34.99612974628004
13.4,-2.254896768218672,1.8153255701021183,25.397184262169137
13.5,-0.35495532121011386,0.33038072286872017,19.688981349341027
13.6,-0.016784643686813316,0.19423595291252613,15.223130264347352
13.7,0.9049057438379573,1.0571196926234596,11.462596582316793
13.8,2.235831699913935,2.629400329965788,9.823424410219014
13.9,3.5594755199137427,6.833729028513059,7.512163241913862
14.0,9.685580081278431,17.99353650056228,14.834906949054377
14.1,16.182271671630456,17.714553965954885,34.64570947179526
14.2,11.104211964294228,0.5208819599660922,39.64860584940131
14.3,1.4465857655908452,-5.399623491685031,28.87829097272632
14.4,-2.4459002483500427,-3.621059199577655,22.013212237500806
14.5,-4.132441507374389,-6.828996161341325,18.981454672621286
14.6,-7.568436827492101,-11.670588950608284,19.09344901137883
14.7,-11.652522371967606,-15.042566059955377,27.16568007998825
14.8,-12.225415866089863,-10.262114148580455,34.77167637823476
14.9,-7.701619315594252,-2.992764360609005,31.85742056712916
15.0,-3.8734430926314265,-2.014874293619948,25.120575983411392
15.1,-3.761557495842452,-3.850186942770159,20.515419561668136
15.2,-4.657502082844665,-7.0862465640430425,17.191762751753284
15.3,-7.672870175263853,-12.800228513557922,18.615069796207067
15.4,-12.603229690578578,-14.960347856469095,28.079680426273207
15.5,-12.382308229511354,-8.468264997606534,35.31712655319684
15.6,-6.738187461010148,-1.6273292543083238,31.206907705406756
15.7,-2.8000271173565383,-1.5761441613613711,23.543742348243658
15.8,-2.607282128846103,-3.665636672516788,18.73834284722977
15.9,-3.814502450007819,-5.646013117544203,15.73260773987164
16.0,-6.711462054427273,-12.012748421548274,15.869717408020172
16.1,-12.322357018367585,-16.55900223178535,25.638630498107407
16.2,-13.254889149025841,-9.881130456744582,36.0252502564889
16.3,-7.3165125323731734,-1.1698384660793866,32.769792482595754
