time,_x,_z,_w,_v
0.0,0.0037071019443188635,0.6618076738645873,0.24770427640172477,0.4341479566147691
0.5,-0.3641627994074572,0.2736630465303722,0.1248866633485462,0.4938688938461717
1.0,-0.9057593158552729,-0.05697077709826548,0.0464743124971426,0.5539050127794028
1.5,-1.3392337180506504,-0.22366508308544475,-0.08227806295364552,0.4699715988698368
2.0,-1.0346368043271619,-0.19698980020191276,-0.06147600644341717,0.6653381452416455
2.5,-0.836404883744741,-0.3014323618551432,0.007716055067068184,0.7615978634372862
3.0,-0.6066120730798772,-0.328026049517416,-0.006822815874963334,0.8435243997473124
3.5,-0.3931457069273826,-0.1761098958003419,0.04658805966727776,0.8112202527989145
4.0,-0.0695098490555616,0.11133470495751116,0.050694244456180364,0.7519035586933432
8.0,-0.18398088583418334,0.7183872038961574,0.3758759157789142,0.4436111099886198
8.5,-0.4724787405154697,0.5730317285296092,0.41211012902372274,0.46949583847760223
9.0,-0.7603110350871136,0.4384014704876884,0.41720242143614394,0.4750205170301147
9.5,-0.8226958140485232,0.46852416224237725,0.4295155308929639,0.438543117160946
10.0,-0.8619647959941347,0.3455532704242549,0.4573790719248738,0.39027307976775816
10.5,-0.7313581858541447,0.3371563702745703,0.43037176439969455,0.3980370696778165
11.0,-1.0422015797511996,0.4390002354833433,0.415906697449014,0.42195257649602136
11.5,-1.058640531699639,0.36329827858561325,0.3094564316961177,0.36451495152631186
12.0,-0.892715246290893,0.4792251346144403,0.3687121852901384,0.38179730938901113
16.0,-0.9480031776666411,0.9848744372820145,0.7234363771119285,-0.017976857231171078
17.0,-1.150852810075329,1.2248913366850254,0.5948132148813542,-0.18267239459787682
18.0,-1.1224886784545829,1.2196136965992297,0.5020844886205845,-0.2942525458836174
19.0,-1.148241465900803,1.1934974223611357,0.5966874438462864,-0.1759310243032209
19.990000000000002,-1.323783761941994,1.2513711856340846,0.4653138439408415,-0.36708799973344236
